method,two_backbone_mean_source_macro_exact,two_backbone_mean_source_macro_token_f1
clap_retrieval,0.4618888888888889,0.4691719576719577
deterministic_random_retrieval,0.4731111111111111,0.47752098765432105
oracle_retrieval,0.4885555555555555,0.4966675485008818
prefix_matched_retrieval,0.478,0.48396825396825394
selected_learned_retrieval,0.4585555555555556,0.4667469135802469
selected_retrieval_silenced,0.3876666666666667,0.393637037037037
text_only,0.4033333333333333,0.40795238095238096
uniform_retrieval,0.472,0.4800846560846561
