id,title,main_paper,pdf_sha256,source_files,source_sha256
AEF01,Outcome-faithful evidence ladder,True,65f2a2265b31d165731bd1fa5d93d78de375df00b8baa86b0723c136c85917c2,AEF01_evidence_ledger.csv,AEF01_evidence_ledger.csv:4b75c62e56e37a2b9401ba4597aa224a2bb6a93a18c34712074917ce1eb9db3a
AEF02,Controlled and natural performance,True,250ce633d5639014d742b9ab94844d0e5446f6974196e3fc9538c66785203e8c,AEF02_controlled.csv;AEF02_natural.csv,AEF02_controlled.csv:f78fa35cb5e77f24bb23213de151df624597a6f5e293e6b87d0e91b9f45945d2;AEF02_natural.csv:0f932c551cb10a2020165d7f002efeb7a61972561a536c3790de2cb843ac851c
AEF03,Temporal-IoU sensitivity,True,96a71071cd7a8ee19433b71fdc2e32517ae1b49cbb9d83a2f9112582db05fcf7,AEF03_thresholds.csv,AEF03_thresholds.csv:a890bcc83cfb2ac06e280a751db552df2ea07cfdc4cb668b72d96bdff095aff0
AEF04,Cross-fitted selections and class effects,True,a7e7780a1d6005ed47dbdeefda7910f15542691a45b5ee547d72f1adfaf47ede,AEF04_selection.csv;AEF04_class_delta.csv,AEF04_class_delta.csv:c1588971dc426e7a604f5efb4929dacb43b209d052e01849e9afe3bcac238250;AEF04_selection.csv:5965b0076109d84a9c0e34f338ec207a7b7de7dd07e241e47a1b152d99bee7da
AEF05,Downstream answer boundary,False,4efee5a03aaa387e91d82bf1b7bff97f1ade87281af1ecd8894681063b1fa99b,AEF05_downstream.csv,AEF05_downstream.csv:a4759b6f2cbd7abfeca304505c4b6c4db6b4ea465eea8c7b66867a25bfbbf975
